Application,Category,CCI,Bytes Uploaded,Bytes Downloaded,Total Bytes,Sanctioned,# Sessions,Tags,# Users,Passport,Passport #,Pasaporte,Pasaporte blg,Philipienes Passport Num
PBHS Secure Mail,Webmail,24,193320,1203450,1396770,no,16,"Unsanctioned,Departmental",10,,P12345672B,P12345672B,,
FollowUp,Webmail,41,156399,18815058,18971457,no,24,"Unsanctioned,Consumer",14,,P12345672C,P12345672C,,
NeoCertified,Webmail,51,142379,1356156,1498535,no,24,"Unsanctioned,Enterprise",6,,X2222222A,X2222222A,,
GMX Mail,Webmail,12,117849,1246880,1364729,no,13,"Unsanctioned,Departmental",3,,A1234567B,A1234567B,,
JumboMail,Webmail,20,111945,1444176,1556121,no,1,"Unsanctioned,Consumer",1,,P12345671A,P12345671A,,
Newton,Webmail,17,84407,2537471,2621878,no,43,"Unsanctioned,Departmental",13,,P12345672B,P12345672B,,
Boomerang for GMail,Webmail,17,79184,5976625,6055809,no,15,"Unsanctioned,Enterprise",4,,P12345672C,P12345672C,,
Sortd,Webmail,,70801,373314,444115,no,40,"Unsanctioned,Consumer",22,,X2222222A,X2222222A,,
mail.com,Webmail,17,70689,983956,1054645,no,45,"Unsanctioned,Enterprise",3,,A1234567B,A1234567B,,
Mail dealer,Webmail,28,62834,659212,722046,no,4,"Unsanctioned,Enterprise",3,,P12345671A,P12345671A,,
Match My Email,Webmail,29,46835,2459620,2506455,no,7,"Unsanctioned,Departmental",6,,P12345672B,P12345672B,,
Click2Mail,Webmail,24,44764,507050,551814,no,2,"Unsanctioned,Consumer",1,,P12345672C,P12345672C,,
Lycos Mail,Webmail,11,39982,169563,209545,no,53,"Unsanctioned,Departmental",52,,X2222222A,X2222222A,,
Earth Class Mail,Webmail,24,20372,205727,226099,no,2,"Unsanctioned,Departmental",1,,A1234567B,A1234567B,,
Yandex Mail,Webmail,38,18296,115508,133804,no,21,"Unsanctioned,Consumer",7,,P12345671A,P12345671A,,
MailTime,Webmail,8,18123,7668615,7686738,no,1,"Unsanctioned,Consumer",1,,P12345672B,P12345672B,,
Postbox,Webmail,11,16613,3228965,3245578,no,2,"Unsanctioned,Enterprise",1,,P12345672C,P12345672C,,
Scarlet Webmail,Webmail,,16066,366744,382810,no,1,"Unsanctioned,Consumer",1,,X2222222A,X2222222A,,
Protonmail,Webmail,61,15053,70951,86004,no,3,"Unsanctioned,Departmental",1,,A1234567B,A1234567B,,
Mail o2,Webmail,11,14616,1755,16371,no,2,"Unsanctioned,Consumer",2,,P12345671A,P12345671A,,
XS4ALL Webmail,Webmail,13,14568,131062,145630,no,6,"Unsanctioned,Enterprise",5,,P12345672B,P12345672B,,
Thexyz,Webmail,83,13863,642108,655971,no,1,"Unsanctioned,Enterprise",1,,P12345672C,P12345672C,,
sendio,Webmail,32,12568,84322,96890,no,13,"Unsanctioned,Enterprise",13,,X2222222A,X2222222A,,
Email Signature Rescue,Webmail,6,11046,210102,221148,no,4,"Unsanctioned,Departmental",2,,A1234567B,A1234567B,,
MeisterLabs,Webmail,4,8825,3390273,3399098,no,11,"Unsanctioned,Departmental",9,,P12345671A,P12345671A,,
Mailfence,Webmail,22,7864,616499,624363,no,1,"Unsanctioned,Enterprise",1,,P12345672B,P12345672B,,
Hushmail,Webmail,19,7299,24252,31551,no,2,"Unsanctioned,Departmental",1,,P12345672C,P12345672C,,
Atomic Email Studio,Webmail,24,7146,780,7926,no,1,"Unsanctioned,Departmental",1,,X2222222A,X2222222A,,
GrayHair Software,Webmail,11,6146,18146,24292,no,2,"Unsanctioned,Enterprise",1,,A1234567B,A1234567B,,
ZillaDog.com,Webmail,16,5490,650,6140,no,1,"Unsanctioned,Departmental",1,,,,,
Telekom Email,Webmail,20,4750,2392,7142,no,5,"Unsanctioned,Departmental",4,,,,,
Sendicate,Webmail,24,4154,2263,6417,no,5,"Unsanctioned,Departmental",1,,,,,
Mailstrom,Webmail,,3857,455,4312,no,1,"Unsanctioned,Consumer",1,,,,,
MDaemon Private Email Server,Webmail,26,3364,39405,42769,no,6,"Unsanctioned,Enterprise",5,,,,,
NeoNova Zimbra,Webmail,14,3355,390,3745,no,6,"Unsanctioned,Consumer",1,,,,,
mailparser.io,Webmail,29,1156,130,1286,no,1,"Unsanctioned,Departmental",1,,,,,
Web.de,Webmail,28,1080,130,1210,no,2,"Unsanctioned,Departmental",2,,,,,
my.com Email,Webmail,,874,205820,206694,no,1,"Unsanctioned,Consumer",1,,,,,
Greenview Data,Webmail,43,715,54231,54946,no,1,"Unsanctioned,Enterprise",1,,,,,
Tutanota,Webmail,17,0,0,0,no,1,"Unsanctioned,Departmental",1,,,,,
